                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41996,                0.96985,                      1,                0.80563,             0.00023751,             0.00023751,             0.00023751
                      2,                0.15764,                0.97401,                      1,                0.77966,             0.00046609,             0.00046609,             0.00046609
                      3,                0.13676,                0.94906,                      1,                0.79243,             0.00068525,             0.00068525,             0.00068525
                      4,                0.14656,                0.97401,                      1,                0.77605,             0.00067159,             0.00067159,             0.00067159
                      5,                0.11992,                0.96362,                      1,                0.79223,             0.00065745,             0.00065745,             0.00065745
                      6,                0.09981,                0.97505,                      1,                0.77216,             0.00064331,             0.00064331,             0.00064331
                      7,                0.09589,                0.97297,                      1,                 0.7729,             0.00062918,             0.00062918,             0.00062918
                      8,                 0.0899,                0.97505,                      1,                0.77363,             0.00061504,             0.00061504,             0.00061504
                      9,                0.07456,                0.96985,                      1,                0.77708,              0.0006009,              0.0006009,              0.0006009
                     10,                0.08281,                0.96881,                      1,                0.77575,             0.00058677,             0.00058677,             0.00058677
                     11,                0.07672,                0.97609,                      1,                0.76822,             0.00057263,             0.00057263,             0.00057263
                     12,                0.07285,                0.97609,                      1,                0.76917,             0.00055849,             0.00055849,             0.00055849
                     13,                0.07241,                0.97609,                      1,                0.76874,             0.00054435,             0.00054435,             0.00054435
                     14,                0.06432,                0.97609,                      1,                0.76717,             0.00053022,             0.00053022,             0.00053022
                     15,                0.05659,                0.97921,                      1,                0.76484,             0.00051608,             0.00051608,             0.00051608
                     16,                0.05634,                0.98025,                      1,                0.76607,             0.00050194,             0.00050194,             0.00050194
                     17,                0.06038,                0.98025,                      1,                0.76651,              0.0004878,              0.0004878,              0.0004878
                     18,                0.04647,                0.97193,                      1,                0.77033,             0.00047367,             0.00047367,             0.00047367
                     19,                0.04373,                0.97609,                      1,                0.76737,             0.00045953,             0.00045953,             0.00045953
                     20,                0.05262,                0.97609,                      1,                0.78103,             0.00044539,             0.00044539,             0.00044539
                     21,                0.04367,                0.97505,                      1,                0.77331,             0.00043126,             0.00043126,             0.00043126
                     22,                0.03906,                0.97609,                      1,                0.76608,             0.00041712,             0.00041712,             0.00041712
                     23,                0.04493,                0.97817,                      1,                0.76488,             0.00040298,             0.00040298,             0.00040298
                     24,                0.04791,                0.97609,                      1,                  0.766,             0.00038884,             0.00038884,             0.00038884
                     25,                0.04143,                0.97609,                      1,                0.76903,             0.00037471,             0.00037471,             0.00037471
                     26,                0.03177,                0.97297,                      1,                0.76849,             0.00036057,             0.00036057,             0.00036057
                     27,                  0.038,                0.97609,                      1,                0.76914,             0.00034643,             0.00034643,             0.00034643
                     28,                0.03515,                0.97817,                      1,                0.76717,              0.0003323,              0.0003323,              0.0003323
                     29,                0.03134,                0.97817,                      1,                0.76484,             0.00031816,             0.00031816,             0.00031816
                     30,                0.02639,                0.98025,                      1,                0.76396,             0.00030402,             0.00030402,             0.00030402
                     31,                0.02615,                0.97713,                      1,                0.76407,             0.00028988,             0.00028988,             0.00028988
                     32,                0.02504,                0.97817,                      1,                0.76542,             0.00027575,             0.00027575,             0.00027575
                     33,                0.02011,                0.97817,                      1,                0.76427,             0.00026161,             0.00026161,             0.00026161
                     34,                0.02535,                0.97297,                      1,                0.77046,             0.00024747,             0.00024747,             0.00024747
                     35,                0.02032,                0.97505,                      1,                0.76918,             0.00023334,             0.00023334,             0.00023334
                     36,                0.01884,                0.97609,                      1,                0.76685,              0.0002192,              0.0002192,              0.0002192
                     37,                0.01871,                0.97817,                      1,                0.76487,             0.00020506,             0.00020506,             0.00020506
                     38,                0.01742,                0.97817,                      1,                0.76526,             0.00019092,             0.00019092,             0.00019092
                     39,                0.01693,                0.97713,                      1,                0.76592,             0.00017679,             0.00017679,             0.00017679
                     40,                0.01272,                0.97713,                      1,                0.76569,             0.00016265,             0.00016265,             0.00016265
                     41,                0.01501,                0.97921,                      1,                0.76444,             0.00014851,             0.00014851,             0.00014851
                     42,                0.01188,                0.98129,                      1,                0.76466,             0.00013437,             0.00013437,             0.00013437
                     43,                0.01185,                0.97609,                      1,                0.76627,             0.00012024,             0.00012024,             0.00012024
                     44,                0.01182,                0.97713,                      1,                0.76518,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01019,                0.97609,                      1,                0.76531,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 0.0088,                0.97713,                      1,                0.76548,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.01044,                0.97609,                      1,                0.76539,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.00884,                0.97609,                      1,                0.76558,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.00718,                0.97817,                      1,                0.76536,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.00814,                0.97817,                      1,                0.76504,             2.1277e-05,             2.1277e-05,             2.1277e-05
